level,turb,eta_requested,eta_grid,x_c,y_c,cp,surface
L1,none,0.20,0.2000,0.000000,0.000000,0.805593,upper
L1,none,0.20,0.2000,0.000019,0.000793,0.782493,upper
L1,none,0.20,0.2000,0.000080,0.001650,0.752836,upper
L1,none,0.20,0.2000,0.000196,0.002574,0.714905,upper
L1,none,0.20,0.2000,0.000377,0.003566,0.668141,upper
L1,none,0.20,0.2000,0.000638,0.004627,0.611409,upper
L1,none,0.20,0.2000,0.000993,0.005755,0.543953,upper
L1,none,0.20,0.2000,0.001458,0.006948,0.465248,upper
L1,none,0.20,0.2000,0.002052,0.008200,0.375253,upper
L1,none,0.20,0.2000,0.002791,0.009505,0.274509,upper
L1,none,0.20,0.2000,0.003694,0.010854,0.164299,upper
L1,none,0.20,0.2000,0.004777,0.012236,0.046704,upper
L1,none,0.20,0.2000,0.006058,0.013638,-0.075405,upper
L1,none,0.20,0.2000,0.007551,0.015047,-0.198536,upper
L1,none,0.20,0.2000,0.009271,0.016451,-0.319061,upper
L1,none,0.20,0.2000,0.011228,0.017838,-0.433855,upper
L1,none,0.20,0.2000,0.013436,0.019195,-0.540404,upper
L1,none,0.20,0.2000,0.015904,0.020515,-0.636688,upper
L1,none,0.20,0.2000,0.018643,0.021791,-0.721302,upper
L1,none,0.20,0.2000,0.021664,0.023016,-0.793383,upper
L1,none,0.20,0.2000,0.024979,0.024190,-0.852489,upper
L1,none,0.20,0.2000,0.028600,0.025311,-0.898557,upper
L1,none,0.20,0.2000,0.032543,0.026382,-0.931759,upper
L1,none,0.20,0.2000,0.036823,0.027404,-0.952558,upper
L1,none,0.20,0.2000,0.041456,0.028383,-0.961029,upper
L1,none,0.20,0.2000,0.046463,0.029326,-0.957725,upper
L1,none,0.20,0.2000,0.051862,0.030238,-0.938305,upper
L1,none,0.20,0.2000,0.057676,0.031129,-0.901796,upper
L1,none,0.20,0.2000,0.063928,0.032006,-0.843782,upper
L1,none,0.20,0.2000,0.070642,0.032877,-0.718459,upper
L1,none,0.20,0.2000,0.077844,0.033751,-0.577551,upper
L1,none,0.20,0.2000,0.085558,0.034634,-0.480050,upper
L1,none,0.20,0.2000,0.093813,0.035530,-0.436147,upper
L1,none,0.20,0.2000,0.102634,0.036444,-0.439868,upper
L1,none,0.20,0.2000,0.112049,0.037375,-0.443321,upper
L1,none,0.20,0.2000,0.122085,0.038323,-0.447019,upper
L1,none,0.20,0.2000,0.132769,0.039282,-0.452784,upper
L1,none,0.20,0.2000,0.144125,0.040246,-0.460137,upper
L1,none,0.20,0.2000,0.156179,0.041204,-0.468813,upper
L1,none,0.20,0.2000,0.168952,0.042147,-0.478129,upper
L1,none,0.20,0.2000,0.182464,0.043064,-0.487267,upper
L1,none,0.20,0.2000,0.196731,0.043942,-0.495492,upper
L1,none,0.20,0.2000,0.211767,0.044773,-0.502329,upper
L1,none,0.20,0.2000,0.227580,0.045547,-0.507648,upper
L1,none,0.20,0.2000,0.244175,0.046258,-0.511720,upper
L1,none,0.20,0.2000,0.261551,0.046900,-0.515201,upper
L1,none,0.20,0.2000,0.279701,0.047468,-0.519038,upper
L1,none,0.20,0.2000,0.298615,0.047957,-0.524277,upper
L1,none,0.20,0.2000,0.318273,0.048357,-0.531861,upper
L1,none,0.20,0.2000,0.338651,0.048657,-0.542443,upper
L1,none,0.20,0.2000,0.359716,0.048843,-0.556277,upper
L1,none,0.20,0.2000,0.381432,0.048894,-0.573171,upper
L1,none,0.20,0.2000,0.403750,0.048790,-0.592518,upper
L1,none,0.20,0.2000,0.426620,0.048509,-0.613358,upper
L1,none,0.20,0.2000,0.449981,0.048033,-0.634490,upper
L1,none,0.20,0.2000,0.473769,0.047347,-0.654676,upper
L1,none,0.20,0.2000,0.497911,0.046447,-0.672632,upper
L1,none,0.20,0.2000,0.522334,0.045337,-0.687255,upper
L1,none,0.20,0.2000,0.546959,0.044030,-0.697705,upper
L1,none,0.20,0.2000,0.571705,0.042545,-0.703546,upper
L1,none,0.20,0.2000,0.596493,0.040910,-0.707226,upper
L1,none,0.20,0.2000,0.621239,0.039149,-0.697698,upper
L1,none,0.20,0.2000,0.645864,0.037290,-0.572111,upper
L1,none,0.20,0.2000,0.670288,0.035354,-0.324761,upper
L1,none,0.20,0.2000,0.694435,0.033360,-0.148019,upper
L1,none,0.20,0.2000,0.718230,0.031322,-0.101186,upper
L1,none,0.20,0.2000,0.741604,0.029247,-0.093279,upper
L1,none,0.20,0.2000,0.764492,0.027144,-0.081365,upper
L1,none,0.20,0.2000,0.786835,0.025019,-0.066013,upper
L1,none,0.20,0.2000,0.808581,0.022876,-0.048165,upper
L1,none,0.20,0.2000,0.829682,0.020722,-0.027448,upper
L1,none,0.20,0.2000,0.850101,0.018564,-0.004449,upper
L1,none,0.20,0.2000,0.869805,0.016409,0.020820,upper
L1,none,0.20,0.2000,0.888767,0.014267,0.048403,upper
L1,none,0.20,0.2000,0.906971,0.012147,0.078476,upper
L1,none,0.20,0.2000,0.924403,0.010062,0.111279,upper
L1,none,0.20,0.2000,0.941059,0.008025,0.147338,upper
L1,none,0.20,0.2000,0.956938,0.006050,0.187701,upper
L1,none,0.20,0.2000,0.972047,0.004158,0.234463,upper
L1,none,0.20,0.2000,0.986396,0.002368,0.287041,upper
L1,none,0.20,0.2000,1.000000,0.000705,0.358997,upper
L1,none,0.20,0.2000,0.000000,0.000000,0.805593,lower
L1,none,0.20,0.2000,0.000019,-0.000793,0.825005,lower
L1,none,0.20,0.2000,0.000080,-0.001650,0.840498,lower
L1,none,0.20,0.2000,0.000196,-0.002574,0.850828,lower
L1,none,0.20,0.2000,0.000377,-0.003566,0.855175,lower
L1,none,0.20,0.2000,0.000638,-0.004627,0.852141,lower
L1,none,0.20,0.2000,0.000993,-0.005755,0.840403,lower
L1,none,0.20,0.2000,0.001458,-0.006948,0.818709,lower
L1,none,0.20,0.2000,0.002052,-0.008200,0.786099,lower
L1,none,0.20,0.2000,0.002791,-0.009505,0.742083,lower
L1,none,0.20,0.2000,0.003694,-0.010854,0.686868,lower
L1,none,0.20,0.2000,0.004777,-0.012236,0.621495,lower
L1,none,0.20,0.2000,0.006058,-0.013638,0.547875,lower
L1,none,0.20,0.2000,0.007551,-0.015047,0.468698,lower
L1,none,0.20,0.2000,0.009271,-0.016451,0.387214,lower
L1,none,0.20,0.2000,0.011228,-0.017838,0.306917,lower
L1,none,0.20,0.2000,0.013436,-0.019195,0.231163,lower
L1,none,0.20,0.2000,0.015904,-0.020515,0.162817,lower
L1,none,0.20,0.2000,0.018643,-0.021791,0.104014,lower
L1,none,0.20,0.2000,0.021664,-0.023016,0.056019,lower
L1,none,0.20,0.2000,0.024979,-0.024190,0.019190,lower
L1,none,0.20,0.2000,0.028600,-0.025311,-0.006941,lower
L1,none,0.20,0.2000,0.032543,-0.026382,-0.023533,lower
L1,none,0.20,0.2000,0.036823,-0.027404,-0.032233,lower
L1,none,0.20,0.2000,0.041456,-0.028383,-0.034927,lower
L1,none,0.20,0.2000,0.046463,-0.029326,-0.033495,lower
L1,none,0.20,0.2000,0.051862,-0.030238,-0.029637,lower
L1,none,0.20,0.2000,0.057676,-0.031129,-0.024784,lower
L1,none,0.20,0.2000,0.063928,-0.032006,-0.020079,lower
L1,none,0.20,0.2000,0.070642,-0.032877,-0.016398,lower
L1,none,0.20,0.2000,0.077844,-0.033751,-0.014374,lower
L1,none,0.20,0.2000,0.085558,-0.034634,-0.014425,lower
L1,none,0.20,0.2000,0.093813,-0.035530,-0.016779,lower
L1,none,0.20,0.2000,0.102634,-0.036444,-0.021494,lower
L1,none,0.20,0.2000,0.112049,-0.037375,-0.028470,lower
L1,none,0.20,0.2000,0.122085,-0.038323,-0.037473,lower
L1,none,0.20,0.2000,0.132769,-0.039282,-0.048149,lower
L1,none,0.20,0.2000,0.144125,-0.040246,-0.060054,lower
L1,none,0.20,0.2000,0.156179,-0.041204,-0.072694,lower
L1,none,0.20,0.2000,0.168952,-0.042147,-0.085570,lower
L1,none,0.20,0.2000,0.182464,-0.043064,-0.098242,lower
L1,none,0.20,0.2000,0.196731,-0.043942,-0.110385,lower
L1,none,0.20,0.2000,0.211767,-0.044773,-0.121843,lower
L1,none,0.20,0.2000,0.227580,-0.045547,-0.132659,lower
L1,none,0.20,0.2000,0.244175,-0.046258,-0.143072,lower
L1,none,0.20,0.2000,0.261551,-0.046900,-0.153474,lower
L1,none,0.20,0.2000,0.279701,-0.047468,-0.164333,lower
L1,none,0.20,0.2000,0.298615,-0.047957,-0.176093,lower
L1,none,0.20,0.2000,0.318273,-0.048357,-0.189052,lower
L1,none,0.20,0.2000,0.338651,-0.048657,-0.203264,lower
L1,none,0.20,0.2000,0.359716,-0.048843,-0.218441,lower
L1,none,0.20,0.2000,0.381432,-0.048894,-0.233898,lower
L1,none,0.20,0.2000,0.403750,-0.048790,-0.248547,lower
L1,none,0.20,0.2000,0.426620,-0.048509,-0.260966,lower
L1,none,0.20,0.2000,0.449981,-0.048033,-0.269574,lower
L1,none,0.20,0.2000,0.473769,-0.047347,-0.272933,lower
L1,none,0.20,0.2000,0.497911,-0.046447,-0.270153,lower
L1,none,0.20,0.2000,0.522334,-0.045337,-0.261239,lower
L1,none,0.20,0.2000,0.546959,-0.044030,-0.247153,lower
L1,none,0.20,0.2000,0.571705,-0.042545,-0.229475,lower
L1,none,0.20,0.2000,0.596493,-0.040910,-0.209872,lower
L1,none,0.20,0.2000,0.621239,-0.039149,-0.189701,lower
L1,none,0.20,0.2000,0.645864,-0.037290,-0.169863,lower
L1,none,0.20,0.2000,0.670288,-0.035354,-0.150796,lower
L1,none,0.20,0.2000,0.694435,-0.033360,-0.132557,lower
L1,none,0.20,0.2000,0.718230,-0.031322,-0.114913,lower
L1,none,0.20,0.2000,0.741604,-0.029247,-0.097456,lower
L1,none,0.20,0.2000,0.764492,-0.027144,-0.079718,lower
L1,none,0.20,0.2000,0.786835,-0.025019,-0.061251,lower
L1,none,0.20,0.2000,0.808581,-0.022876,-0.041677,lower
L1,none,0.20,0.2000,0.829682,-0.020722,-0.020700,lower
L1,none,0.20,0.2000,0.850101,-0.018564,0.001917,lower
L1,none,0.20,0.2000,0.869805,-0.016409,0.026388,lower
L1,none,0.20,0.2000,0.888767,-0.014267,0.052944,lower
L1,none,0.20,0.2000,0.906971,-0.012147,0.081870,lower
L1,none,0.20,0.2000,0.924403,-0.010062,0.113544,lower
L1,none,0.20,0.2000,0.941059,-0.008025,0.148542,lower
L1,none,0.20,0.2000,0.956938,-0.006050,0.187863,lower
L1,none,0.20,0.2000,0.972047,-0.004158,0.233868,lower
L1,none,0.20,0.2000,0.986396,-0.002368,0.287881,lower
L1,none,0.20,0.2000,1.000000,-0.000705,0.359862,lower
L1,none,0.44,0.4400,-0.000000,0.000000,0.765926,upper
L1,none,0.44,0.4400,0.000019,0.000793,0.740018,upper
L1,none,0.44,0.4400,0.000080,0.001650,0.707374,upper
L1,none,0.44,0.4400,0.000196,0.002574,0.666246,upper
L1,none,0.44,0.4400,0.000377,0.003566,0.616104,upper
L1,none,0.44,0.4400,0.000638,0.004627,0.555840,upper
L1,none,0.44,0.4400,0.000993,0.005755,0.484745,upper
L1,none,0.44,0.4400,0.001458,0.006948,0.402344,upper
L1,none,0.44,0.4400,0.002052,0.008200,0.308657,upper
L1,none,0.44,0.4400,0.002791,0.009505,0.204299,upper
L1,none,0.44,0.4400,0.003694,0.010854,0.090641,upper
L1,none,0.44,0.4400,0.004777,0.012236,-0.030141,upper
L1,none,0.44,0.4400,0.006058,0.013638,-0.155108,upper
L1,none,0.44,0.4400,0.007551,0.015047,-0.280732,upper
L1,none,0.44,0.4400,0.009271,0.016451,-0.403444,upper
L1,none,0.44,0.4400,0.011228,0.017838,-0.520280,upper
L1,none,0.44,0.4400,0.013436,0.019195,-0.628846,upper
L1,none,0.44,0.4400,0.015904,0.020515,-0.727283,upper
L1,none,0.44,0.4400,0.018643,0.021791,-0.814399,upper
L1,none,0.44,0.4400,0.021664,0.023016,-0.889491,upper
L1,none,0.44,0.4400,0.024979,0.024190,-0.952308,upper
L1,none,0.44,0.4400,0.028600,0.025311,-1.003032,upper
L1,none,0.44,0.4400,0.032543,0.026382,-1.042221,upper
L1,none,0.44,0.4400,0.036823,0.027404,-1.070691,upper
L1,none,0.44,0.4400,0.041456,0.028383,-1.089396,upper
L1,none,0.44,0.4400,0.046462,0.029326,-1.099358,upper
L1,none,0.44,0.4400,0.051862,0.030238,-1.101653,upper
L1,none,0.44,0.4400,0.057676,0.031129,-1.097415,upper
L1,none,0.44,0.4400,0.063928,0.032006,-1.087724,upper
L1,none,0.44,0.4400,0.070642,0.032877,-1.073529,upper
L1,none,0.44,0.4400,0.077844,0.033751,-1.055534,upper
L1,none,0.44,0.4400,0.085558,0.034634,-1.034590,upper
L1,none,0.44,0.4400,0.093813,0.035530,-1.010874,upper
L1,none,0.44,0.4400,0.102634,0.036444,-0.983601,upper
L1,none,0.44,0.4400,0.112049,0.037375,-0.938039,upper
L1,none,0.44,0.4400,0.122085,0.038323,-0.828397,upper
L1,none,0.44,0.4400,0.132769,0.039282,-0.675609,upper
L1,none,0.44,0.4400,0.144125,0.040246,-0.555329,upper
L1,none,0.44,0.4400,0.156179,0.041204,-0.506929,upper
L1,none,0.44,0.4400,0.168952,0.042147,-0.518896,upper
L1,none,0.44,0.4400,0.182464,0.043064,-0.547816,upper
L1,none,0.44,0.4400,0.196731,0.043942,-0.574087,upper
L1,none,0.44,0.4400,0.211767,0.044773,-0.593811,upper
L1,none,0.44,0.4400,0.227580,0.045547,-0.607318,upper
L1,none,0.44,0.4400,0.244175,0.046258,-0.615741,upper
L1,none,0.44,0.4400,0.261551,0.046900,-0.620392,upper
L1,none,0.44,0.4400,0.279701,0.047468,-0.622711,upper
L1,none,0.44,0.4400,0.298615,0.047957,-0.624491,upper
L1,none,0.44,0.4400,0.318273,0.048357,-0.627702,upper
L1,none,0.44,0.4400,0.338651,0.048657,-0.633969,upper
L1,none,0.44,0.4400,0.359716,0.048843,-0.644188,upper
L1,none,0.44,0.4400,0.381432,0.048894,-0.658444,upper
L1,none,0.44,0.4400,0.403750,0.048790,-0.676169,upper
L1,none,0.44,0.4400,0.426620,0.048509,-0.696377,upper
L1,none,0.44,0.4400,0.449981,0.048033,-0.717788,upper
L1,none,0.44,0.4400,0.473769,0.047347,-0.738954,upper
L1,none,0.44,0.4400,0.497911,0.046447,-0.757429,upper
L1,none,0.44,0.4400,0.522334,0.045337,-0.775296,upper
L1,none,0.44,0.4400,0.546959,0.044030,-0.781374,upper
L1,none,0.44,0.4400,0.571705,0.042545,-0.660939,upper
L1,none,0.44,0.4400,0.596493,0.040910,-0.326400,upper
L1,none,0.44,0.4400,0.621239,0.039149,-0.084951,upper
L1,none,0.44,0.4400,0.645864,0.037290,-0.068878,upper
L1,none,0.44,0.4400,0.670288,0.035354,-0.077670,upper
L1,none,0.44,0.4400,0.694435,0.033360,-0.076221,upper
L1,none,0.44,0.4400,0.718230,0.031322,-0.069248,upper
L1,none,0.44,0.4400,0.741604,0.029247,-0.058720,upper
L1,none,0.44,0.4400,0.764492,0.027144,-0.045441,upper
L1,none,0.44,0.4400,0.786835,0.025019,-0.030352,upper
L1,none,0.44,0.4400,0.808581,0.022876,-0.013435,upper
L1,none,0.44,0.4400,0.829682,0.020722,0.005376,upper
L1,none,0.44,0.4400,0.850101,0.018564,0.026080,upper
L1,none,0.44,0.4400,0.869805,0.016409,0.048763,upper
L1,none,0.44,0.4400,0.888767,0.014267,0.073583,upper
L1,none,0.44,0.4400,0.906971,0.012147,0.100776,upper
L1,none,0.44,0.4400,0.924403,0.010062,0.130691,upper
L1,none,0.44,0.4400,0.941059,0.008025,0.163890,upper
L1,none,0.44,0.4400,0.956938,0.006050,0.201431,upper
L1,none,0.44,0.4400,0.972047,0.004158,0.245285,upper
L1,none,0.44,0.4400,0.986396,0.002368,0.294576,upper
L1,none,0.44,0.4400,1.000000,0.000705,0.363355,upper
L1,none,0.44,0.4400,-0.000000,0.000000,0.765926,lower
L1,none,0.44,0.4400,0.000019,-0.000793,0.788144,lower
L1,none,0.44,0.4400,0.000080,-0.001650,0.806594,lower
L1,none,0.44,0.4400,0.000196,-0.002574,0.820068,lower
L1,none,0.44,0.4400,0.000377,-0.003566,0.827709,lower
L1,none,0.44,0.4400,0.000638,-0.004627,0.828069,lower
L1,none,0.44,0.4400,0.000993,-0.005755,0.819787,lower
L1,none,0.44,0.4400,0.001458,-0.006948,0.801547,lower
L1,none,0.44,0.4400,0.002052,-0.008200,0.772306,lower
L1,none,0.44,0.4400,0.002791,-0.009505,0.731473,lower
L1,none,0.44,0.4400,0.003694,-0.010854,0.679142,lower
L1,none,0.44,0.4400,0.004777,-0.012236,0.616245,lower
L1,none,0.44,0.4400,0.006058,-0.013638,0.544594,lower
L1,none,0.44,0.4400,0.007551,-0.015047,0.466809,lower
L1,none,0.44,0.4400,0.009271,-0.016451,0.386082,lower
L1,none,0.44,0.4400,0.011228,-0.017838,0.305869,lower
L1,none,0.44,0.4400,0.013436,-0.019195,0.229516,lower
L1,none,0.44,0.4400,0.015904,-0.020515,0.159932,lower
L1,none,0.44,0.4400,0.018643,-0.021791,0.099333,lower
L1,none,0.44,0.4400,0.021664,-0.023016,0.049088,lower
L1,none,0.44,0.4400,0.024979,-0.024190,0.009684,lower
L1,none,0.44,0.4400,0.028600,-0.025311,-0.019207,lower
L1,none,0.44,0.4400,0.032543,-0.026382,-0.038600,lower
L1,none,0.44,0.4400,0.036823,-0.027404,-0.050013,lower
L1,none,0.44,0.4400,0.041456,-0.028383,-0.055239,lower
L1,none,0.44,0.4400,0.046462,-0.029326,-0.056104,lower
L1,none,0.44,0.4400,0.051862,-0.030238,-0.054293,lower
L1,none,0.44,0.4400,0.057676,-0.031129,-0.051250,lower
L1,none,0.44,0.4400,0.063928,-0.032006,-0.048143,lower
L1,none,0.44,0.4400,0.070642,-0.032877,-0.045881,lower
L1,none,0.44,0.4400,0.077844,-0.033751,-0.045130,lower
L1,none,0.44,0.4400,0.085558,-0.034634,-0.046339,lower
L1,none,0.44,0.4400,0.093813,-0.035530,-0.049761,lower
L1,none,0.44,0.4400,0.102634,-0.036444,-0.055470,lower
L1,none,0.44,0.4400,0.112049,-0.037375,-0.063382,lower
L1,none,0.44,0.4400,0.122085,-0.038323,-0.073261,lower
L1,none,0.44,0.4400,0.132769,-0.039282,-0.084748,lower
L1,none,0.44,0.4400,0.144125,-0.040246,-0.097385,lower
L1,none,0.44,0.4400,0.156179,-0.041204,-0.110650,lower
L1,none,0.44,0.4400,0.168952,-0.042147,-0.124012,lower
L1,none,0.44,0.4400,0.182464,-0.043064,-0.136991,lower
L1,none,0.44,0.4400,0.196731,-0.043942,-0.149222,lower
L1,none,0.44,0.4400,0.211767,-0.044773,-0.160512,lower
L1,none,0.44,0.4400,0.227580,-0.045547,-0.170875,lower
L1,none,0.44,0.4400,0.244175,-0.046258,-0.180527,lower
L1,none,0.44,0.4400,0.261551,-0.046900,-0.189845,lower
L1,none,0.44,0.4400,0.279701,-0.047468,-0.199281,lower
L1,none,0.44,0.4400,0.298615,-0.047957,-0.209250,lower
L1,none,0.44,0.4400,0.318273,-0.048357,-0.220008,lower
L1,none,0.44,0.4400,0.338651,-0.048657,-0.231536,lower
L1,none,0.44,0.4400,0.359716,-0.048843,-0.243448,lower
L1,none,0.44,0.4400,0.381432,-0.048894,-0.254956,lower
L1,none,0.44,0.4400,0.403750,-0.048790,-0.264894,lower
L1,none,0.44,0.4400,0.426620,-0.048509,-0.271857,lower
L1,none,0.44,0.4400,0.449981,-0.048033,-0.274454,lower
L1,none,0.44,0.4400,0.473769,-0.047347,-0.271653,lower
L1,none,0.44,0.4400,0.497911,-0.046447,-0.263105,lower
L1,none,0.44,0.4400,0.522334,-0.045337,-0.249286,lower
L1,none,0.44,0.4400,0.546959,-0.044030,-0.231345,lower
L1,none,0.44,0.4400,0.571705,-0.042545,-0.210760,lower
L1,none,0.44,0.4400,0.596493,-0.040910,-0.188987,lower
L1,none,0.44,0.4400,0.621239,-0.039149,-0.167196,lower
L1,none,0.44,0.4400,0.645864,-0.037290,-0.146163,lower
L1,none,0.44,0.4400,0.670288,-0.035354,-0.126269,lower
L1,none,0.44,0.4400,0.694435,-0.033360,-0.107542,lower
L1,none,0.44,0.4400,0.718230,-0.031322,-0.089750,lower
L1,none,0.44,0.4400,0.741604,-0.029247,-0.072493,lower
L1,none,0.44,0.4400,0.764492,-0.027144,-0.055299,lower
L1,none,0.44,0.4400,0.786835,-0.025019,-0.037703,lower
L1,none,0.44,0.4400,0.808581,-0.022876,-0.019292,lower
L1,none,0.44,0.4400,0.829682,-0.020722,0.000276,lower
L1,none,0.44,0.4400,0.850101,-0.018564,0.021297,lower
L1,none,0.44,0.4400,0.869805,-0.016409,0.044048,lower
L1,none,0.44,0.4400,0.888767,-0.014267,0.068820,lower
L1,none,0.44,0.4400,0.906971,-0.012147,0.095951,lower
L1,none,0.44,0.4400,0.924403,-0.010062,0.125856,lower
L1,none,0.44,0.4400,0.941059,-0.008025,0.159136,lower
L1,none,0.44,0.4400,0.956938,-0.006050,0.196796,lower
L1,none,0.44,0.4400,0.972047,-0.004158,0.241161,lower
L1,none,0.44,0.4400,0.986396,-0.002368,0.293479,lower
L1,none,0.44,0.4400,1.000000,-0.000705,0.363651,lower
L1,none,0.65,0.6500,-0.000000,0.000000,0.749842,upper
L1,none,0.65,0.6500,0.000019,0.000793,0.722603,upper
L1,none,0.65,0.6500,0.000080,0.001650,0.688563,upper
L1,none,0.65,0.6500,0.000196,0.002574,0.645966,upper
L1,none,0.65,0.6500,0.000377,0.003566,0.594299,upper
L1,none,0.65,0.6500,0.000638,0.004627,0.532474,upper
L1,none,0.65,0.6500,0.000993,0.005755,0.459807,upper
L1,none,0.65,0.6500,0.001458,0.006948,0.375852,upper
L1,none,0.65,0.6500,0.002052,0.008200,0.280662,upper
L1,none,0.65,0.6500,0.002791,0.009505,0.174893,upper
L1,none,0.65,0.6500,0.003694,0.010854,0.059958,upper
L1,none,0.65,0.6500,0.004777,0.012236,-0.061920,upper
L1,none,0.65,0.6500,0.006058,0.013638,-0.187747,upper
L1,none,0.65,0.6500,0.007551,0.015047,-0.313967,upper
L1,none,0.65,0.6500,0.009271,0.016451,-0.437083,upper
L1,none,0.65,0.6500,0.011228,0.017838,-0.554188,upper
L1,none,0.65,0.6500,0.013436,0.019195,-0.662914,upper
L1,none,0.65,0.6500,0.015904,0.020515,-0.761479,upper
L1,none,0.65,0.6500,0.018643,0.021791,-0.848747,upper
L1,none,0.65,0.6500,0.021664,0.023016,-0.924053,upper
L1,none,0.65,0.6500,0.024979,0.024190,-0.987179,upper
L1,none,0.65,0.6500,0.028600,0.025311,-1.038342,upper
L1,none,0.65,0.6500,0.032543,0.026382,-1.078136,upper
L1,none,0.65,0.6500,0.036823,0.027404,-1.107425,upper
L1,none,0.65,0.6500,0.041456,0.028383,-1.127204,upper
L1,none,0.65,0.6500,0.046463,0.029326,-1.138524,upper
L1,none,0.65,0.6500,0.051862,0.030238,-1.142485,upper
L1,none,0.65,0.6500,0.057676,0.031129,-1.140239,upper
L1,none,0.65,0.6500,0.063928,0.032006,-1.132927,upper
L1,none,0.65,0.6500,0.070642,0.032877,-1.121560,upper
L1,none,0.65,0.6500,0.077844,0.033751,-1.106987,upper
L1,none,0.65,0.6500,0.085558,0.034634,-1.089984,upper
L1,none,0.65,0.6500,0.093813,0.035530,-1.071340,upper
L1,none,0.65,0.6500,0.102634,0.036444,-1.051894,upper
L1,none,0.65,0.6500,0.112049,0.037375,-1.032491,upper
L1,none,0.65,0.6500,0.122085,0.038323,-1.013872,upper
L1,none,0.65,0.6500,0.132769,0.039282,-0.996631,upper
L1,none,0.65,0.6500,0.144125,0.040246,-0.981080,upper
L1,none,0.65,0.6500,0.156179,0.041204,-0.967511,upper
L1,none,0.65,0.6500,0.168952,0.042147,-0.955660,upper
L1,none,0.65,0.6500,0.182464,0.043064,-0.940215,upper
L1,none,0.65,0.6500,0.196731,0.043942,-0.901928,upper
L1,none,0.65,0.6500,0.211767,0.044773,-0.816707,upper
L1,none,0.65,0.6500,0.227580,0.045547,-0.697679,upper
L1,none,0.65,0.6500,0.244175,0.046258,-0.610126,upper
L1,none,0.65,0.6500,0.261551,0.046900,-0.595236,upper
L1,none,0.65,0.6500,0.279701,0.047468,-0.622683,upper
L1,none,0.65,0.6500,0.298615,0.047957,-0.651928,upper
L1,none,0.65,0.6500,0.318273,0.048357,-0.671481,upper
L1,none,0.65,0.6500,0.338651,0.048657,-0.684393,upper
L1,none,0.65,0.6500,0.359716,0.048843,-0.695675,upper
L1,none,0.65,0.6500,0.381432,0.048894,-0.708239,upper
L1,none,0.65,0.6500,0.403750,0.048790,-0.722930,upper
L1,none,0.65,0.6500,0.426620,0.048509,-0.741075,upper
L1,none,0.65,0.6500,0.449981,0.048033,-0.762448,upper
L1,none,0.65,0.6500,0.473769,0.047347,-0.758588,upper
L1,none,0.65,0.6500,0.497911,0.046447,-0.606926,upper
L1,none,0.65,0.6500,0.522334,0.045337,-0.296399,upper
L1,none,0.65,0.6500,0.546959,0.044030,-0.099432,upper
L1,none,0.65,0.6500,0.571705,0.042545,-0.092075,upper
L1,none,0.65,0.6500,0.596493,0.040910,-0.112398,upper
L1,none,0.65,0.6500,0.621239,0.039149,-0.114118,upper
L1,none,0.65,0.6500,0.645864,0.037290,-0.106901,upper
L1,none,0.65,0.6500,0.670288,0.035354,-0.096244,upper
L1,none,0.65,0.6500,0.694435,0.033360,-0.082888,upper
L1,none,0.65,0.6500,0.718230,0.031322,-0.068661,upper
L1,none,0.65,0.6500,0.741604,0.029247,-0.054201,upper
L1,none,0.65,0.6500,0.764492,0.027144,-0.039025,upper
L1,none,0.65,0.6500,0.786835,0.025019,-0.022783,upper
L1,none,0.65,0.6500,0.808581,0.022876,-0.005354,upper
L1,none,0.65,0.6500,0.829682,0.020722,0.013433,upper
L1,none,0.65,0.6500,0.850101,0.018564,0.033833,upper
L1,none,0.65,0.6500,0.869805,0.016409,0.056082,upper
L1,none,0.65,0.6500,0.888767,0.014267,0.080401,upper
L1,none,0.65,0.6500,0.906971,0.012147,0.107076,upper
L1,none,0.65,0.6500,0.924403,0.010062,0.136500,upper
L1,none,0.65,0.6500,0.941059,0.008025,0.169251,upper
L1,none,0.65,0.6500,0.956938,0.006050,0.206388,upper
L1,none,0.65,0.6500,0.972047,0.004158,0.249858,upper
L1,none,0.65,0.6500,0.986396,0.002368,0.298834,upper
L1,none,0.65,0.6500,1.000000,0.000705,0.367250,upper
L1,none,0.65,0.6500,-0.000000,0.000000,0.749842,lower
L1,none,0.65,0.6500,0.000019,-0.000793,0.773408,lower
L1,none,0.65,0.6500,0.000080,-0.001650,0.793301,lower
L1,none,0.65,0.6500,0.000196,-0.002574,0.808327,lower
L1,none,0.65,0.6500,0.000377,-0.003566,0.817623,lower
L1,none,0.65,0.6500,0.000638,-0.004627,0.819715,lower
L1,none,0.65,0.6500,0.000993,-0.005755,0.813226,lower
L1,none,0.65,0.6500,0.001458,-0.006948,0.796817,lower
L1,none,0.65,0.6500,0.002052,-0.008200,0.769403,lower
L1,none,0.65,0.6500,0.002791,-0.009505,0.730348,lower
L1,none,0.65,0.6500,0.003694,-0.010854,0.679687,lower
L1,none,0.65,0.6500,0.004777,-0.012236,0.618292,lower
L1,none,0.65,0.6500,0.006058,-0.013638,0.547922,lower
L1,none,0.65,0.6500,0.007551,-0.015047,0.471150,lower
L1,none,0.65,0.6500,0.009271,-0.016451,0.391140,lower
L1,none,0.65,0.6500,0.011228,-0.017838,0.311325,lower
L1,none,0.65,0.6500,0.013436,-0.019195,0.235045,lower
